URL,Name,Description,Image_URL,Image_Name,Price
https://www.sunrom.com/p/rj11-rj12-6p6c-gray-telephone-socket-for-landline,RJ11 RJ12 6P6C Gray Telephone Socket for Landline,Difference between RJ11 and RJ12,https://www.sunrom.com/img/p/2446/2446_800.jpg,2446_800.jpg,$20.83 
https://www.sunrom.com/p/tsop1838,TSOP1838,Listens to modulated infrared signals(36-40Khz) and removes its carrier frequency to output data. Useful in receiving IR remote control signals and decoding using controller. Eqv to TSOP1738,https://www.sunrom.com/img/p/932/932_800.jpg,/932_800.jpg,$16.67 
https://www.sunrom.com/p/micro-sd-memory-card-socket,Micro SD Memory Card Socket,"PCB Mount, Push to insert, push again to eject",https://www.sunrom.com/img/p/107/107_800.jpg,/107_800.jpg,$25.00 
https://www.sunrom.com/p/tssop10-ssop10-065mm-body-44mm-zif-socket,TSSOP10 SSOP10 - 0.65mm - Body 4.4mm - ZIF Socket,Easily remove and insert Integrated Circuits for testing and programming,https://www.sunrom.com/img/p/1615/1615_800.jpg,1615_800.jpg,$10.42 
https://www.sunrom.com/p/tssop24-ssop24-065mm-body-44mm-zif-socket,TSSOP24 SSOP24 - 0.65mm - Body 4.4mm - ZIF Socket,Easily remove and insert Integrated Circuits for testing and programming,https://www.sunrom.com/img/p/1614/1614_800.jpg,1614_800.jpg,$10.42 
https://www.sunrom.com/p/blood-pressure-sensor-serial-output,Blood Pressure Sensor - Serial output,Reads blood pressure and heart rate and outputs at 9600 baud rate,https://www.sunrom.com/img/p/566/566_800.jpg,/566_800.jpg,$35.42 
https://www.sunrom.com/p/5k-preset-3296w-502,5K Preset 3296W-502,"Sunrom Electronics & Sunrom Technologies are two companies, that are the 
                foremost online e-commerce stores since 2004, providing innovative embedded systems, components & 
                services. Our aim is to empower you to Make In India. 
                We work closely with electronics manufacturing companies & individuals to understand & solve the challenges 
                faced during production. We do not just sell things, We use them ourselves in our products,
                and provide you with high quality tested components for trouble free experience.",https://www.sunrom.com/img/p/1760/1760_800.jpg,1760_800.jpg,$19.44 
https://www.sunrom.com/p/serial-uart-to-ethernet-convertertcpip-module-usr-tcp232-t,"Serial UART To Ethernet Converter,TCP/IP Module - USR-TCP232-T2",UART to Ethernet module which supports D2D forwarding and virtual serial.,https://www.sunrom.com/img/p/821/821_800.jpg,/821_800.jpg,$22.57 
https://www.sunrom.com/p/tactile-switch-12x12x13mm,Tactile Switch 12x12x13mm,"Momentary push to on, Tactile Feedback, Good Quality, Big Knob",https://www.sunrom.com/img/p/2435/2435_800.jpg,2435_800.jpg,$13.19 
https://www.sunrom.com/p/100r-preset-3296w-101,100R Preset 3296W-101,"Sunrom Electronics & Sunrom Technologies are two companies, that are the 
                foremost online e-commerce stores since 2004, providing innovative embedded systems, components & 
                services. Our aim is to empower you to Make In India. 
                We work closely with electronics manufacturing companies & individuals to understand & solve the challenges 
                faced during production. We do not just sell things, We use them ourselves in our products,
                and provide you with high quality tested components for trouble free experience.",https://www.sunrom.com/img/p/1761/1761_800.jpg,1761_800.jpg,$19.44 
https://www.sunrom.com/p/rj10-rj9-4p4c-black-socket-for-telephone-headset,RJ10 RJ9 4P4C Black Socket for Telephone Headset,"Sunrom Electronics & Sunrom Technologies are two companies, that are the 
                foremost online e-commerce stores since 2004, providing innovative embedded systems, components & 
                services. Our aim is to empower you to Make In India. 
                We work closely with electronics manufacturing companies & individuals to understand & solve the challenges 
                faced during production. We do not just sell things, We use them ourselves in our products,
                and provide you with high quality tested components for trouble free experience.",https://www.sunrom.com/img/p/2445/2445_800.jpg,2445_800.jpg,$27.78 
https://www.sunrom.com/p/loadcell-sensor-24-bit-adc-hx711,Loadcell sensor 24 bit ADC - HX711,"Weight sensor, Loadcell interfacing, Digitizer, Sensing Bridge to digital interfacing",https://www.sunrom.com/img/p/195/195_800.jpg,/195_800.jpg,$2.22 
https://www.sunrom.com/p/soic14-127mm-body-39mm-150mil-zif-socket,SOIC14 - 1.27mm - Body 3.9mm (150mil) - ZIF Socket,Easily remove and insert Integrated Circuits for testing and programming,https://www.sunrom.com/img/p/1602/1602_800.jpg,1602_800.jpg,$6.94 
https://www.sunrom.com/p/cable-tie-100x2-5mm,Cable Tie 100x2.5mm,"Self Locking, Nylon, Useful in organizing and protecting cables from movement Rubber Feet, Fuse Cover, Cable Tie",https://www.sunrom.com/img/p/776/776_800.jpg,/776_800.jpg,$0.83 
https://www.sunrom.com/p/serial-data-logger-to-usb-pen-drive,Serial Data Logger to USB Pen Drive,Log incoming serial UART data to text files on USB Pen Drive. Baud rate of incoming data can be configured.,https://www.sunrom.com/img/p/813/813_800.jpg,/813_800.jpg,$20.14 
https://www.sunrom.com/p/3p-header-empty-middle-jst-vh-396mm,3P Header Empty Middle JST VH 3.96mm,"Sunrom Electronics & Sunrom Technologies are two companies, that are the 
                foremost online e-commerce stores since 2004, providing innovative embedded systems, components & 
                services. Our aim is to empower you to Make In India. 
                We work closely with electronics manufacturing companies & individuals to understand & solve the challenges 
                faced during production. We do not just sell things, We use them ourselves in our products,
                and provide you with high quality tested components for trouble free experience.",https://www.sunrom.com/img/p/1383/1383_800.jpg,1383_800.jpg,$5.56 
https://www.sunrom.com/p/led-moving-message-display,LED Moving Message Display 362x72mm,"Serial UART Input, Easy to use for static and scrolling messages.",https://www.sunrom.com/img/p/154/154_800.jpg,/154_800.jpg,$27.78 
https://www.sunrom.com/p/usb-keyboard-decoder-serial-output,USB Keyboard - Serial Output,Accepts any USB Keyboard and outputs serial data for every keypress,https://www.sunrom.com/img/p/744/744_800.jpg,/744_800.jpg,$16.67 
https://www.sunrom.com/p/jumper-wires-femalefemale-10-way-20cm-8-in,Jumper Wires - Female/Female - 10 way - 20cm (8 In),"Multi color, quick interconnect Male and Female type jumper wires combination allows you to quick setup and connect between sensors, breadboard and development boards.",https://www.sunrom.com/img/p/372/372_800.jpg,/372_800.jpg,$34.72 
https://www.sunrom.com/p/usb-rs485-isolated-industrial-grade,USB - RS485 Isolated Converter Industrial Grade,"Industrial grade, LED indicators, Wall & Panel mountable, USB 2.0, EMI, EMC, IEC compliance specifications  RS-485, also known as TIA-485, EIA-485, is a standard defining the electrical characteristics. Digital communications can be used effectively over long distances and in noisy environments. RS-485 is useful in industrial control systems.",https://www.sunrom.com/img/p/1089/1089_800.jpg,1089_800.jpg,$19.10 
https://www.sunrom.com/p/dual-wire-2x075-sq-mm-red-wire-ferrule,Dual Wire 2x0.75 sq. mm Red Wire Ferrule,Great for crimping wire ends and terminating to screw terminals.,https://www.sunrom.com/img/p/2353/2353_800.jpg,2353_800.jpg,$3.47 
https://www.sunrom.com/p/universal-test-clip-for-upto-soic16-127mm-both-narrow-wide-body,Universal Test Clip for upto SOIC16 1.27mm both Narrow & Wide Body,"Suitable for ICs upto SOIC16 having 1.27mm Pitch pins with Narrow & Wide body ICs like EEPROM and Flash. Supported Body Width are from 3.7mm to 6mm maximum eg 3.81mm, 3.90mm, 3.91mm, 5.18mm, 5.28mm, 5.38mm  Easily remove and insert Integrated Circuits for testing and programming",https://www.sunrom.com/img/p/1919/1919_800.jpg,1919_800.jpg,$17.36 
https://www.sunrom.com/p/tssop8-ssop8-065mm-body-44mm-zif-socket,TSSOP8 SSOP8 - 0.65mm - Body 4.4mm - ZIF Socket,Easily remove and insert Integrated Circuits for testing and programming,https://www.sunrom.com/img/p/1607/1607_800.jpg,1607_800.jpg,$10.42 
https://www.sunrom.com/p/40x1-header-strip-2-54mm-pitch-right-angle,"40x1 Header Strip 2.54mm Pitch, Right Angle","Breakaway header, Bent 90 degrees",https://www.sunrom.com/img/p/854/854_800.jpg,/854_800.jpg,$11.81 
https://www.sunrom.com/p/crimping-tool-for-jst-vh-yac13,Crimping Tool for JST VH (YAC13),Professional Contact Ratchet Crimping Tool for 2.54mm & 3.96mm Pitch connectors,https://www.sunrom.com/img/p/1466/1466_800.jpg,1466_800.jpg,$31.25 
https://www.sunrom.com/p/yellow-10-sq-mm-wire-ferrule,Yellow 1.0 sq. mm Wire Ferrule,Great for crimping wire ends and terminating to screw terminals.,https://www.sunrom.com/img/p/2214/2214_800.jpg,2214_800.jpg,$2.08 
https://www.sunrom.com/p/micro-limit-switch-roller-lever-5a-125v-openclose-switch-kw12-3,Micro Limit Switch Roller Lever 5A 125V Open/Close Switch KW12-3,"Limit switch also know as micro switch. In 3D Printing, RepRap, CNC, Automation, these switches are used as End Stops.",https://www.sunrom.com/img/p/2069/2069_800.jpg,2069_800.jpg,$30.56 
https://www.sunrom.com/p/dual-wire-2x05-sq-mm-red-wire-ferrule,Dual Wire 2x0.5 sq. mm Red Wire Ferrule,Great for crimping wire ends and terminating to screw terminals.,https://www.sunrom.com/img/p/2352/2352_800.jpg,2352_800.jpg,$2.78 
https://www.sunrom.com/p/hr911105a,HR911105A - Hanrun - RJ45 Horizontal - Ethernet Transformer,"RJ45 Lan Ethernet Connector for ENC28J60 / W5100, Genuine Hanrun with Integrated Magnetics",https://www.sunrom.com/img/p/716/716_800.jpg,/716_800.jpg,$2.01 
https://www.sunrom.com/p/pg7-black-nylon-cable-gland-for-cable-dia-3-6mm,PG7 Black Nylon Cable Gland for Cable Dia 3-6mm,"Designed to attach and secure the entering of an electrical cable to the equipment These glands are waterproof, easy to assemble and offer good strain relief with wide clamping range.",https://www.sunrom.com/img/p/2305/2305_800.jpg,2305_800.jpg,$16.67 
https://www.sunrom.com/p/load-cell-40-kg,Load Cell - 40 Kg,Weighing Scale Application,https://www.sunrom.com/img/p/118/118_800.jpg,/118_800.jpg,$8.19 
https://www.sunrom.com/p/red-banana-socket-4mm,Red Banana Socket 4mm,"Great for panel mounting low power DC and Audio for Push and Connect use A banana connector (commonly banana plug for the male, banana socket or banana jack for the female) is a single-wire (one conductor) electrical connector used for joining wires to equipment.",https://www.sunrom.com/img/p/2157/2157_800.jpg,2157_800.jpg,$13.89 
https://www.sunrom.com/p/usb-to-ttl-uart-cable-ftdi-ft230x,USB to TTL UART Cable - FTDI FT230X,"1 meter cable, communicate your PC with microcontroller easily. Direct 5V/3V level UART(RX/TX) wires, Creates virtual serial COM port on PC.",https://www.sunrom.com/img/p/1574/1574_800.jpg,1574_800.jpg,$7.99 
https://www.sunrom.com/p/terminal-2p-ra-508mm-pluggable-right-angle,Terminal 2P R/A 5.08mm Pluggable Right Angle,"Screw terminal, Pluggable, Right angle male+female in 5.08mm pitch",https://www.sunrom.com/img/p/1349/1349_800.jpg,1349_800.jpg,$23.61 
https://www.sunrom.com/p/at24c02-soic8-i2c-eeprom,AT24C02 - SOIC8 - I2C EEPROM,256 bytes I2C memory chip,https://www.sunrom.com/img/p/1221/1221_800.jpg,1221_800.jpg,$6.94 
https://www.sunrom.com/p/qfp44-tqfp44-lqfp44-08mm-body-10x10mm12x12mm-with-pins-zif-socket,QFP44 TQFP44 LQFP44 - 0.8mm - Body 10x10mm(12x12mm with Pins) - ZIF Socket,Easily remove and insert Integrated Circuits for testing and programming,https://www.sunrom.com/img/p/1619/1619_800.jpg,1619_800.jpg,$20.14 
https://www.sunrom.com/p/tssop24-ssop24-065mm-body-53mm-zif-socket,TSSOP24 SSOP24 - 0.65mm - Body 5.3mm - ZIF Socket,Easily remove and insert Integrated Circuits for testing and programming,https://www.sunrom.com/img/p/1613/1613_800.jpg,1613_800.jpg,$10.42 
https://www.sunrom.com/p/mechanical-platform-without-load-cell,Mechanical Platform without Load Cell,Unassembled platform for weigh scale application allows you to add your own load cell.,https://www.sunrom.com/img/p/282/282_800.jpg,/282_800.jpg,$8.19 
https://www.sunrom.com/p/500k-preset-3362-p-504,500K Preset 3362 P-504,"Single turn, Sealed",https://www.sunrom.com/img/p/1773/1773_800.jpg,1773_800.jpg,$16.67 
https://www.sunrom.com/p/rocker-switch-2-pin-spst,"Rocker Switch 2-Pin, SPST","This single-pole, single-throw (SPST) rocker switch makes a great on/off power switch. It is rated for 10 A at 125 VAC and 6 A at 250 VAC.",https://www.sunrom.com/img/p/1258/1258_800.jpg,1258_800.jpg,$25.00 
https://www.sunrom.com/p/yellow-05-sq-mm-wire-ferrule,Yellow 0.5 sq. mm Wire Ferrule,Great for crimping wire ends and terminating to screw terminals.,https://www.sunrom.com/img/p/2167/2167_800.jpg,2167_800.jpg,$1.74 
https://www.sunrom.com/p/soic20-sop20-127mm-body-75mm-300mils-zif-socket,SOIC20 SOP20 - 1.27mm - Body 7.5mm (300mils) - ZIF Socket,Easily remove and insert Integrated Circuits for testing and programming,https://www.sunrom.com/img/p/1608/1608_800.jpg,1608_800.jpg,$6.94 
https://www.sunrom.com/p/black-banana-socket-4mm,Black Banana Socket 4mm,"Great for panel mounting low power DC and Audio for Push and Connect use A banana connector (commonly banana plug for the male, banana socket or banana jack for the female) is a single-wire (one conductor) electrical connector used for joining wires to equipment.",https://www.sunrom.com/img/p/2158/2158_800.jpg,2158_800.jpg,$13.89 
https://www.sunrom.com/p/sim-card-holder-6-pin-push-in-type,SIM Card Holder - 6 pin - Push In type,Suitable for mini SIM card size 25x15mm,https://www.sunrom.com/img/p/1709/1709_800.jpg,1709_800.jpg,$16.67 
https://www.sunrom.com/p/tpa3116d2-2x50w-24vdc-stereo-audio-amplifier,TPA3116D2 - 2x50W - 24VDC Stereo Audio Amplifier,"Class D, Dual-Channel Stereo Digital Power Amplifier Board with Volume control with on/off switch",https://www.sunrom.com/img/p/1523/1523_800.jpg,1523_800.jpg,$10.42 
https://www.sunrom.com/p/100k-preset-3296w-104,100K Preset 3296W-104,"Sunrom Electronics & Sunrom Technologies are two companies, that are the 
                foremost online e-commerce stores since 2004, providing innovative embedded systems, components & 
                services. Our aim is to empower you to Make In India. 
                We work closely with electronics manufacturing companies & individuals to understand & solve the challenges 
                faced during production. We do not just sell things, We use them ourselves in our products,
                and provide you with high quality tested components for trouble free experience.",https://www.sunrom.com/img/p/1770/1770_800.jpg,1770_800.jpg,$19.44 
https://www.sunrom.com/p/usb-ttl-uart-module-ftdi-ft230x,USB-TTL UART Module - FTDI FT230X,"Communicate your PC with microcontroller easily. Direct 5V/3V level UART(RX/TX) pins, Creates virtual serial COM port on PC.",https://www.sunrom.com/img/p/1567/1567_800.jpg,1567_800.jpg,$7.29 
https://www.sunrom.com/p/usb-enclosure-black-translucent,USB Enclosure - Black Translucent,"Low cost, Press fit type, ABS, See through for LEDs Give Professional finish to your circuits with the use of our enclosures",https://www.sunrom.com/img/p/807/807_800.jpg,/807_800.jpg,$48.61 
https://www.sunrom.com/p/200k-preset-3362-p-204,200K Preset 3362 P-204,"Single turn, Sealed",https://www.sunrom.com/img/p/1772/1772_800.jpg,1772_800.jpg,$16.67 
https://www.sunrom.com/p/40x1-header-strip-254mm-pitch-right-angle-reversed-black-plastic,"40x1 Header Strip 2.54mm Pitch, Right Angle, Reversed Black Plastic","Breakaway header, Bent 90 degrees, Reversed black plastic for low profile designs",https://www.sunrom.com/img/p/1658/1658_800.jpg,1658_800.jpg,$20.83 
https://www.sunrom.com/p/emi-ferrite-chip-bead-2a-0603-tdk-mpz1608s221ata00,EMI Ferrite Chip Bead - 2A - 0603 - TDK MPZ1608S221ATA00,"They offer excellent anti-EMI properties and low DC resistance. Placed very close next to the interference source even with small size 0603. Perfect as data line filter and for uncoupling of distribution voltage. Electromagnetic interference (EMI), also called radio-frequency interference (RFI) is the unwanted high frequency noise generated that can interfere with sensitive circuits",https://www.sunrom.com/img/p/1583/1583_800.jpg,1583_800.jpg,$3.12 
https://www.sunrom.com/p/hy951180a-hanrun-rj45-vertical-ethernet-transformer,HY951180A - Hanrun - RJ45 Vertical - Ethernet Transformer,"RJ45 Lan Ethernet Connector for ENC28J60 / W5100, Genuine Hanrun with Integrated Magnetics",https://www.sunrom.com/img/p/1915/1915_800.jpg,1915_800.jpg,$2.43 
https://www.sunrom.com/p/soic18-sop18---127mm---body-300mil-75mm---zif-socket,SOIC18 SOP18 - 1.27mm - Body 300mil (7.5mm) - ZIF Socket,Easily remove and insert Integrated Circuits for testing and programming,https://www.sunrom.com/img/p/1609/1609_800.jpg,1609_800.jpg,$6.94 
https://www.sunrom.com/p/50k-preset-3296w-503,50K Preset 3296W-503,"Sunrom Electronics & Sunrom Technologies are two companies, that are the 
                foremost online e-commerce stores since 2004, providing innovative embedded systems, components & 
                services. Our aim is to empower you to Make In India. 
                We work closely with electronics manufacturing companies & individuals to understand & solve the challenges 
                faced during production. We do not just sell things, We use them ourselves in our products,
                and provide you with high quality tested components for trouble free experience.",https://www.sunrom.com/img/p/1767/1767_800.jpg,1767_800.jpg,$19.44 
